LFI-TF36,$589.00,"Stainless Steel Exhaust Fan: 36 in Blade 1/2 HP 115 / 230V (11,000 CFM)"
LFI-HAF18,$139.00,"HAF Circulator Fan: 18 in Blade, 1 Speed ( 1,900 CFM)"
LFI-CP36,$69.00,"Commercial Ceiling Circulating Fan 36 in (Up or Downdraft 7,100 CFM)"
LFI-CP48HPWP,$129.00,"Industrial Ceiling Circulating Fan 48 in (Up or Downdraft 21,000 CFM)"
LFI-CP48,$79.00,"Commercial Ceiling Circulating Fan 48 in (Up or Downdraft 13,000 CFM)"
LFI-CP56FR,$79.00,"Commercial Grade Ceiling Fan 56 in (Up or Downdraft 20,500 CFM)"
LFI-CP56S,$99.00,"Commercial Ceiling Circulating Fan 56 in (Up or Downdraft 20,500 CFM) w/ 36"" downrod"
LFI-CP56BR,$79.00,"Commercial (brown) Ceiling Circulating Fan 56 in (Up or Downdraft 20,500 CFM)"
LFI-CP56HPWP,$129.00,"Industrial Ceiling Circulating Fan 56 in (Up or Downdraft 27,500 CFM)"
LFI-CP60HPWP,$169.00,"Industrial Ceiling Circulating Fan 60 in (Up or Downdraft 46,000 CFM)"
CT-121118-00,$629.00,Switch Reluctance Blower with Speed Control Feature ( 120V )
CT-121131-00,$629.00,Switch Reluctance Blower with Speed Control Feature ( 230V )
LFI-CP36,$69.00,"Commercial Ceiling Circulating Fan 36 in (Up or Downdraft 7,100 CFM)"
LFI-CP48,$79.00,"Commercial Ceiling Circulating Fan 48 in (Up or Downdraft 13,000 CFM)"
LFI-CP48HPWP,$129.00,"Industrial Ceiling Circulating Fan 48 in (Up or Downdraft 21,000 CFM)"
LFI-CP56FR,$79.00,"Commercial Grade Ceiling Fan 56 in (Up or Downdraft 20,500 CFM)"
LFI-CP56BR,$79.00,"Commercial (brown) Ceiling Circulating Fan 56 in (Up or Downdraft 20,500 CFM)"
LFI-CP56S,$99.00,"Commercial Ceiling Circulating Fan 56 in (Up or Downdraft 20,500 CFM) w/ 36"" downrod"
LFI-CP56HPWP,$129.00,"Industrial Ceiling Circulating Fan 56 in (Up or Downdraft 27,500 CFM)"
LFI-CP60HPWP,$169.00,"Industrial Ceiling Circulating Fan 60 in (Up or Downdraft 46,000 CFM)"
TE-CMPC3021,$629.00,"Industrial Ceiling Mount Circulating Fan (direct drive) 30 in Blade (8,200  / 6,600 CFM)"
TE-CMPC3613,$839.00,"Industrial Ceiling Mount Circulating Fan (direct drive): 36 in Blade (10,900 CFM)"
TE-CMB3613,"$1,049.00","Industrial Ceiling Mount Circulating Fan (belt drive): 36 in Blade (12,100 CFM)"
TE-CMPC4213,"$1,009.00","Industrial Ceiling Mount Circulating Fan (direct drive): 42 in Blade (13,600 CFM)"
TE-CMB4213,"$1,129.00","Industrial Ceiling Mount Circulating  Fan (belt drive): 42 in Blade (14, 445 CFM)"
TE-CMB4214,"$1,329.00","Industrial Ceiling Mount Circulating Fan (belt drive): 42 in Blade (15,850 CFM)"
TE-CMB4815,"$1,649.00","Industrial Ceiling Mount Circulating Fan (belt drive): 48 in Blade (19,460 CFM)"
